LOTE,BLOC,COMARCA,codINE,Municipi,Pob.,Estancia Minima,coordinates
5,3,Osona,8026,Brull,278,1 HORA,"[2.3052283, 41.8168099]"
5,4,Berguedà,8078,Espunyola,265,1 HORA,"[1.7733927, 42.0523207]"
5,4,Berguedà,8130,Montclar,136,30 MINUTOS,"[1.7653302, 42.018173]"
5,4,Berguedà,8045,Capolat,89,30 MINUTOS,"[1.752867, 42.0776191]"
5,4,Berguedà,8050,Castellar del Riu,175,30 MINUTOS,"[1.7549529, 42.1273226]"
5,4,Berguedà,8080,Fígols,45,30 MINUTOS,"[1.8366637, 42.1809467]"
5,4,Berguedà,8142,Nou de Berguedà,179,30 MINUTOS,"[1.8845378, 42.1663902]"
5,4,Berguedà,8177,Quar,47,30 MINUTOS,"[1.9807775, 42.1050263]"
5,4,Berguedà,8299,Vilada,439,1 HORA,"[1.9315206, 42.1369132]"
5,4,Ripollès,17096,Llosses,205,30 MINUTOS,"[2.1166718, 42.1506279]"
5,4,Ripollès,17170,Vallfogona de Ripollès,222,30 MINUTOS,"[2.3036247, 42.1963139]"
5,4,Berguedà,8024,Borredà,448,1 HORA,"[1.9941054, 42.1355536]"
5,4,Berguedà,8057,Castell de l'Areny,69,30 MINUTOS,"[1.9454439, 42.1732169]"
5,4,Berguedà,8216,Sant Jaume de Frontanyà,31,30 MINUTOS,"[2.0238488, 42.1874392]"
5,4,Berguedà,8293,Vallcebre,268,1 HORA,"[1.818818, 42.2036044]"
5,4,Berguedà,8903,Sant Julià de Cerdanyola,241,30 MINUTOS,"[1.8921354, 42.2234097]"
5,4,Berguedà,8093,Gisclareny,28,30 MINUTOS,"[1.7866137, 42.249978]"
5,4,Berguedà,8190,Saldes,298,1 HORA,"[1.7349486, 42.2287591]"
5,4,Berguedà,25100,Gósol,233,30 MINUTOS,"[1.6605511, 42.2365129]"
5,4,Berguedà,8052,Castellar de n'Hug,176,30 MINUTOS,"[2.0165927, 42.2826009]"
5,4,Ripollès,17037,Campelles,162,30 MINUTOS,"[2.1405635, 42.2946353]"
5,4,Ripollès,17080,Gombrèn,200,30 MINUTOS,"[2.0905975, 42.2484304]"
5,4,Ripollès,17134,Planoles,307,1 HORA,"[2.1029743, 42.3148273]"
5,4,Ripollès,17201,Toses,185,30 MINUTOS,"[2.0168227, 42.3218595]"
5,4,Ripollès,17192,Setcases,200,30 MINUTOS,"[2.3016103, 42.375331]"
5,4,Ripollès,17091,Llanars,533,1 HORA,"[2.3435638, 42.3197051]"
5,4,Ripollès,17107,Molló,365,1 HORA,"[2.4043962, 42.3485369]"
5,4,Ripollès,17112,Ogassa,222,30 MINUTOS,"[2.2777794, 42.2656267]"
5,4,Ripollès,17224,Vilallonga de Ter,410,1 HORA,"[2.3125292, 42.331497]"
5,4,Ripollès,17125,Pardines,165,30 MINUTOS,"[2.2139864, 42.312731]"
5,4,Ripollès,17043,Queralbs,191,30 MINUTOS,"[2.1632838, 42.3495722]"
